Time,Region,UserName,ETSMember,ETSServiceAuto,ETSQuestionAuto,AnswerHit,ETSQuesionManual,UserSays,UserSaysLower,JARVISAnswerKB,KBpageId,KBurl,KBWikiPosition,JARVISAnswerForm,SessionId
2020-09-10T10:46:00.392619Z,NABU,,,,,,,product cloud,product cloud,Network Policies,636120111,,,636120111,fe0f021f-4cf8-4cf6-8c55-a2efa330e129
2020-09-10T10:50:11.117441Z,PH,,,,,,,salesforce,salesforce,Sales Hub Info,386338253,,,386338253,5bcfc4b0-4b4f-4fe5-8644-8daaf5e4c626
2020-09-10T10:50:31.024501Z,PH,,,,,,,portal,portal,First Time User Access to the new Education Portal,75272416,,,75272416,5bcfc4b0-4b4f-4fe5-8644-8daaf5e4c626
2020-09-10T10:50:47.361821Z,PH,,,,,,,business portal,business portal,,,,,,5bcfc4b0-4b4f-4fe5-8644-8daaf5e4c626
2020-09-10T10:52:13.446762Z,Europe,,,,,,,ac,ac,,,,,,d88dd2a2-e29c-4a6a-8a05-18a335528ffc
2020-09-10T10:56:26.336325Z,Europe,,,,,,,ac,ac,,,,,,ad3ebee4-71f9-49df-b43b-a6d1346d146c
2020-09-10T11:05:56.749751Z,Europe,,,,,,,license,license,Request for MSDN License and Other Licenses for Non-standard Applications,21266502,,,21266502,ed18e50b-658e-4cdd-9a00-0891f83c3009
2020-09-10T11:24:30.408643Z,Europe,,,,,,,mailbox,mailbox,How to Add Another Mailbox on Outlook for Mac,92624010,,,92624010,b76341da-4f1a-4592-a19c-86f87dda0a96
2020-09-10T11:28:38.684263Z,TW,,,,,,,@laurenn's profile,@laurenn's profile,,,,,,6d848881-2db8-4f32-9a9f-59d365c2c367
2020-09-10T11:32:01.342794Z,PH,,,,,,,Setting up VDI,setting up vdi,How to set up VDI Workspace,636611939,,,636611939,7558033f-8e7e-49f3-b43e-ccad0e5051c5
2020-09-10T11:40:13.569412Z,TW,,,,,,,vpn,vpn,VPN/f5: How to install f5 client on Desktop\Laptop?,210179666,,,210179666,a8c6777b-9260-4388-9bb8-830ffe4461d5
2020-09-10T11:51:04.327918Z,Europe,,,,,,,Problem with searching for C-No. or a customer license key (AC or RK) - No search result after searching,problem with searching for c-no. or a customer license key (ac or rk) - no search result after searching,Europe IT Contact Info,425821972,,,425821972,15b69703-380c-4441-abd9-94d83a5831a6
2020-09-10T11:53:52.380533Z,PH,,,,,,,collect email sample,collect email sample,,,,,,89291613-710d-4e47-9837-5357813ea4a0
2020-09-10T12:34:41.932136Z,PH,,,,,,,deliver,deliver,[PH-WFH] Machine Transport Request,605556991,,,605556991,195be6ec-9fec-461b-a4bc-af4b9f7ad874
2020-09-10T12:37:31.625838Z,NABU,,,,,,,webexpenses,webexpenses,,,,,,2c30adc3-dfc1-44ba-98bf-4e70eecfda14
2020-09-10T12:38:29.600091Z,Europe,,,,,,,I need access to webexpenses,i need access to webexpenses,Europe IT Contact Info,425821972,,,425821972,737fe67c-9f65-47f9-8590-089465e68305
2020-09-10T12:45:01.137337Z,APAC,,,,,,,dsaas,dsaas,DSaaS support,613458791,,,613458791,7cae4158-04eb-4aea-834b-6eb64a4331d5
2020-09-10T12:50:24.64725Z,MMEA,,,,,,,product license,product license,Request for MSDN License and Other Licenses for Non-standard Applications,21266502,,,21266502,ecdd9b21-30cf-43d6-98fc-1f3a5438ea70
